3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000102 Free shrinkage level, 29620000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 908000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.1e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.08 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 1016000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.08 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 1016000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1016000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000313 Free shrinkage level, 33442000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.006 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 1024000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000313 Free shrinkage level, 33442000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.006 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 1024000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000313 Free shrinkage level, 33442000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1024000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000117 Free shrinkage level, 30342000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 920000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.2e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000132 Free shrinkage level, 30800000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 940000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.3e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000262 Free shrinkage level, 33080000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.014 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000262 Free shrinkage level, 33080000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.014 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000262 Free shrinkage level, 33080000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 1020000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 1020000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1020000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000335 Free shrinkage level, 33558000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1030000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.9e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.016 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.016 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 980000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000171 Free shrinkage level, 31898000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 960000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 960000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 980000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 980000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 980000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.016 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 957000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000262 Free shrinkage level, 33080000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 1010000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.00029 Free shrinkage level, 33295000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.016 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 1017000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 957000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 957000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 957000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000171 Free shrinkage level, 31898000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 962000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000171 Free shrinkage level, 31898000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.15 Grid spacing of steel reinforcements, 962000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000171 Free shrinkage level, 31898000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 962000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 975000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 975000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 975000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 995000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 995000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 995000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000262 Free shrinkage level, 33080000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1010000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.8e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000257 Free shrinkage level, 33034000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.2 Grid spacing of steel reinforcements, 1000000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
